kickoff,home_team,away_team,n_bookmakers,book_home_%,book_draw_%,book_away_%,poly_home_%,poly_draw_%,poly_away_%,poly_moneyline_source,consensus_home_%,consensus_draw_%,consensus_away_%,consensus_sources,scoreline_source,score_1st,score_1st_%,score_2nd,score_2nd_%,score_3rd,score_3rd_%,score_4th,score_4th_%,score_5th,score_5th_%
2026-06-23 23:00 UTC,Panama,Croatia,47,13.6,23.2,63.3,13.4,23.4,63.2,match,13.5,23.2,63.3,"bookmakers, polymarket_match",polymarket,2 - 3,14.7,1 - 3,14.4,0 - 0,14.1,2 - 0,13.9,0 - 3,13.8
2026-06-24 02:00 UTC,Colombia,DR Congo,47,64.0,23.1,12.9,66.2,22.4,11.4,match,64.6,22.9,12.5,"bookmakers, polymarket_match",polymarket,3 - 1,14.5,0 - 2,13.9,3 - 0,13.9,0 - 0,13.7,3 - 2,13.7
2026-06-24 19:00 UTC,Bosnia & Herzegovina,Qatar,46,60.6,23.9,15.5,61.5,23.5,15.0,match,60.9,23.8,15.3,"bookmakers, polymarket_match",polymarket,1 - 0,11.7,2 - 0,11.7,2 - 1,8.4,0 - 1,6.7,1 - 1,6.7
2026-06-24 19:00 UTC,Switzerland,Canada,47,45.1,28.5,26.4,43.8,29.1,27.1,match,44.7,28.6,26.6,"bookmakers, polymarket_match",polymarket,1 - 2,11.0,3 - 1,11.0,0 - 0,10.9,2 - 0,10.9,3 - 0,10.9
2026-06-24 22:00 UTC,Scotland,Brazil,41,14.4,20.7,64.9,13.9,20.3,65.8,match,14.2,20.6,65.2,"bookmakers, polymarket_match",polymarket,0 - 2,11.0,1 - 2,8.2,0 - 1,7.8,0 - 0,6.8,1 - 1,6.8
2026-06-24 22:00 UTC,Morocco,Haiti,41,71.0,18.8,10.1,73.4,17.2,9.4,match,71.7,18.4,9.9,"bookmakers, polymarket_match",polymarket,0 - 0,13.0,1 - 0,12.9,0 - 2,12.9,3 - 0,12.9,3 - 1,12.9
2026-06-25 01:00 UTC,Czech Republic,Mexico,41,22.1,27.2,50.8,21.0,26.8,52.2,match,21.7,27.1,51.2,"bookmakers, polymarket_match",polymarket,0 - 1,10.4,0 - 2,9.1,1 - 2,8.3,1 - 1,7.5,1 - 0,7.1
2026-06-25 01:00 UTC,South Africa,South Korea,41,25.0,28.2,46.8,31.5,36.9,31.5,match,27.0,30.8,42.2,"bookmakers, polymarket_match",polymarket,1 - 3,16.8,2 - 3,16.5,0 - 0,16.3,0 - 3,15.6,0 - 1,4.7
2026-06-25 20:00 UTC,Ecuador,Germany,39,20.3,24.8,54.9,19.2,24.1,56.7,match,20.0,24.6,55.4,"bookmakers, polymarket_match",polymarket,0 - 1,9.8,1 - 2,9.0,1 - 0,6.8,1 - 1,6.8,0 - 0,6.4
2026-06-25 20:00 UTC,Curaçao,Ivory Coast,38,7.5,15.9,76.6,7.5,14.4,78.1,match,7.5,15.5,77.1,"bookmakers, polymarket_match",polymarket,2 - 0,14.3,2 - 3,14.1,0 - 3,14.1,1 - 3,13.9,0 - 0,13.6
2026-06-25 23:00 UTC,Japan,Sweden,38,45.6,27.8,26.6,45.8,28.1,26.1,match,45.6,27.9,26.5,"bookmakers, polymarket_match",polymarket,2 - 1,8.7,1 - 1,7.9,1 - 2,7.4,1 - 0,7.0,0 - 1,6.6
2026-06-25 23:00 UTC,Tunisia,Netherlands,38,14.9,22.5,62.6,13.2,22.0,64.9,match,14.4,22.4,63.3,"bookmakers, polymarket_match",polymarket,2 - 0,14.2,2 - 3,14.2,0 - 0,13.9,0 - 3,13.9,1 - 3,13.9
2026-06-26 02:00 UTC,Turkey,USA,38,35.2,27.5,37.3,,,,winner_fallback,35.5,27.5,37.0,"bookmakers, polymarket_winner",poisson,1 - 1,13.0,0 - 1,10.8,1 - 0,10.4,0 - 0,8.6,1 - 2,8.1
2026-06-26 02:00 UTC,Paraguay,Australia,38,43.6,29.3,27.2,43.8,30.0,26.1,match,43.6,29.5,26.8,"bookmakers, polymarket_match",polymarket,1 - 0,10.6,0 - 1,8.2,2 - 0,8.2,1 - 1,7.8,2 - 1,7.8
2026-06-26 19:00 UTC,Norway,France,40,21.9,26.2,51.9,21.6,26.0,52.5,match,21.8,26.2,52.1,"bookmakers, polymarket_match",polymarket,0 - 1,10.5,1 - 2,8.8,0 - 2,7.5,1 - 0,7.1,1 - 1,7.1
2026-06-26 19:00 UTC,Senegal,Iraq,40,65.8,21.4,12.9,68.2,20.4,11.4,match,66.5,21.1,12.4,"bookmakers, polymarket_match",polymarket,0 - 0,12.8,1 - 2,12.8,3 - 0,12.8,3 - 1,12.6,3 - 2,12.6
2026-06-27 00:00 UTC,Cape Verde,Saudi Arabia,40,36.3,28.4,35.3,36.9,28.1,35.0,match,36.5,28.3,35.2,"bookmakers, polymarket_match",polymarket,3 - 0,23.0,0 - 0,22.7,1 - 1,6.5,1 - 0,5.5,0 - 1,5.2
2026-06-27 00:00 UTC,Uruguay,Spain,40,18.2,24.2,57.7,17.2,24.1,58.6,match,17.9,24.1,57.9,"bookmakers, polymarket_match",polymarket,0 - 3,16.2,1 - 3,16.1,2 - 3,16.1,0 - 0,15.9,0 - 1,5.3
2026-06-27 03:00 UTC,Egypt,Iran,40,40.9,31.1,28.1,43.4,30.7,25.9,match,41.6,31.0,27.4,"bookmakers, polymarket_match",polymarket,3 - 0,19.0,0 - 0,18.6,3 - 1,18.6,1 - 1,5.6,1 - 0,5.4
2026-06-27 03:00 UTC,New Zealand,Belgium,40,10.0,16.9,73.2,8.5,15.6,75.9,match,9.5,16.5,74.0,"bookmakers, polymarket_match",polymarket,0 - 2,12.8,0 - 1,10.7,1 - 2,8.3,0 - 0,6.2,1 - 1,6.2
2026-06-27 21:00 UTC,Panama,England,38,10.3,16.9,72.8,9.5,15.4,75.1,match,10.1,16.4,73.5,"bookmakers, polymarket_match",polymarket,0 - 2,11.5,0 - 1,9.4,1 - 2,8.5,0 - 0,6.4,1 - 1,6.4
2026-06-27 21:00 UTC,Croatia,Ghana,38,56.9,25.3,17.8,58.6,25.1,16.3,match,57.4,25.3,17.3,"bookmakers, polymarket_match",polymarket,3 - 2,16.8,0 - 0,16.6,3 - 1,16.5,3 - 0,15.9,1 - 1,4.9
2026-06-27 23:30 UTC,DR Congo,Uzbekistan,39,40.5,29.3,30.3,41.7,27.9,30.4,match,40.8,28.9,30.3,"bookmakers, polymarket_match",polymarket,3 - 1,10.7,3 - 0,10.5,0 - 0,10.5,0 - 2,10.2,0 - 1,10.1
2026-06-27 23:30 UTC,Colombia,Portugal,39,27.2,28.6,44.2,27.1,28.1,44.8,match,27.2,28.4,44.4,"bookmakers, polymarket_match",polymarket,1 - 3,12.2,0 - 3,12.1,0 - 2,12.1,0 - 0,11.8,1 - 0,11.8
2026-06-28 02:00 UTC,Algeria,Austria,38,27.5,29.3,43.2,26.1,30.0,43.8,match,27.1,29.5,43.4,"bookmakers, polymarket_match",polymarket,0 - 1,9.3,1 - 1,8.1,1 - 2,8.1,1 - 0,7.7,0 - 2,7.7
2026-06-28 02:00 UTC,Jordan,Argentina,38,7.2,14.6,78.2,6.5,12.3,81.2,match,7.0,13.9,79.1,"bookmakers, polymarket_match",polymarket,0 - 2,12.7,1 - 2,8.4,0 - 3,7.2,0 - 1,6.8,2 - 0,6.3
